last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Greinke, Zack,425844,2018,R,3129,44.2,89.5,2335,50.1,89.6,2329,28.9,78.7,2514,21,86.5,1738,
Hamels, Cole,430935,2018,L,2962,29.8,92.3,2083,62.9,90.7,2071,18.2,80.5,2176,18.9,83.3,1652,
Verlander, Justin,434378,2018,R,3420,61.2,95,2618,61.8,95,2618,36.8,83.8,2767,1.5,87.4,1899,
Kluber, Corey,446372,2018,R,3076,8.9,92,2410,71,90.5,2425,22.5,83.8,2607,6.6,85.2,1751,
Shields, James,448306,2018,R,3186,26.5,89.5,2271,62,88.2,2281,19.7,78.2,2478,18.2,83.4,1665,
Morton, Charlie,450203,2018,R,2686,31.1,96.1,2243,64.4,94.9,2213,29.3,79.7,2923,6.3,87.3,2122,
Lester, Jon,452657,2018,L,3108,45.5,91,2230,75,90,2269,15.7,74.8,2571,9.2,84.9,1805,
LeBlanc, Wade,453281,2018,L,2443,7.6,86.2,1944,61.1,85,1940,9.1,72.6,2205,29.8,77.7,1522,
Scherzer, Max,453286,2018,R,3479,50.2,94.4,2487,59.8,93.4,2477,24.5,83,2427,15.7,83.9,1457,
Arrieta, Jake,453562,2018,R,2759,1.7,92.4,2310,55.5,93,2243,33.9,86.8,2559,10.6,88,1650,
Price, David,456034,2018,L,2714,13.3,92.7,2241,74.9,91.2,2179,2.9,79.1,2207,22.2,85.3,1719,
Happ, J.A.,457918,2018,L,3049,59.3,92.3,2334,73.3,91.9,2297,14.4,84.2,2180,12.3,86,1619,
Gonzalez, Gio,461829,2018,L,2905,29.4,90.1,2229,56.8,89.8,2177,20.3,75.7,2713,23,82.8,1629,
Chacin, Jhoulys,468504,2018,R,3006,13.1,89.9,2136,47.7,90.1,2056,45.3,79.3,2367,7,85.1,1533,
Carrasco, Carlos,471911,2018,R,2870,31.3,93.7,2353,44.6,93.5,2309,39.1,83.4,2680,16.3,88,1507,
Quintana, Jose,500779,2018,L,2892,49.7,91.5,2019,68.3,91.5,2008,24.9,76.1,2176,6.8,86.3,1275,
Gibson, Kyle,502043,2018,R,3234,23.3,93.1,2219,57.7,93,2140,31.3,83.9,2472,11,85.6,1696,
Leake, Mike,502190,2018,R,2796,2.7,89.1,2121,59.4,88.2,2083,21.9,79.4,2504,18.7,83.7,1769,
Holland, Derek,502706,2018,L,2902,,,,56.9,91.5,2353,34.3,80,2141,8.8,82.9,2125,
Porcello, Rick,519144,2018,R,3095,20.1,91.3,2433,49.8,90.4,2385,38.4,81.9,2653,11.7,81.4,1760,
Teheran, Julio,527054,2018,R,2797,42.3,89.9,2326,61.9,89.7,2272,28.5,78.4,2607,9.5,82.6,1615,
Anderson, Tyler,542881,2018,L,2848,39.6,91.9,2250,73.3,90.2,2330,3.8,73.7,2336,22.9,81.2,1901,
Cole, Gerrit,543037,2018,R,3256,50.3,96.5,2379,56.4,96.5,2372,39.2,85.7,2706,4.5,87.7,1667,
Hendricks, Kyle,543294,2018,R,3046,17.4,87.3,2074,61.8,86.8,1983,7.6,71.8,2795,30.6,78.6,2090,
Odorizzi, Jake,543606,2018,R,2979,54.1,91.1,2255,56.5,90.9,2253,25.9,81.3,2219,17.7,84.2,1605,
Roark, Tanner,543699,2018,R,2954,19.9,91.5,2103,61.4,91.3,2069,26.7,79.6,2527,11.9,83.4,1731,
Bauer, Trevor,545333,2018,R,2850,36.8,94.5,2322,52.5,93,2373,40.5,80.1,2623,7,87,1852,
Wheeler, Zack,554430,2018,R,2882,42.3,95.8,2312,57.5,95.9,2291,29.8,86.7,2415,12.8,89.1,1631,
Urena, Jose,570632,2018,R,2770,2.1,95.6,2148,57.7,95.8,2125,23.4,86.2,2244,19,89.9,1813,
Boyd, Matthew,571510,2018,L,2854,34.2,90.5,2282,48.8,90.4,2281,43.2,78.1,2308,8,78.6,1760,
Corbin, Patrick,571578,2018,L,3138,20,90.8,2267,48.6,90.8,2236,50.3,80,2333,1.1,81,1710,
Fiers, Mike,571666,2018,R,2667,38.3,89.4,2308,48.5,89.4,2294,33.3,79.1,2571,18.3,83.3,1894,
Heaney, Andrew,571760,2018,L,2754,,,,58.2,91.9,2467,25.2,78.6,2383,16.6,83.3,1931,
Mikolas, Miles,571945,2018,R,3004,26.7,94.1,2309,48.3,93.9,2268,47.2,83.7,2476,4.4,88.4,1680,
Keuchel, Dallas,572971,2018,L,3309,12.2,89.7,2166,68.8,88.6,2090,18.4,78.7,2190,12.8,79.6,1544,
Foltynewicz, Mike,592314,2018,R,3039,40.1,96.3,2349,56.5,96.4,2320,37.4,84.9,2513,6.2,87.8,1909,
Gausman, Kevin,592332,2018,R,3003,58.5,93.6,2168,58.5,93.6,2168,14.4,81.4,2210,27.2,82.6,1478,
Gray, Jon,592351,2018,R,2793,49.6,94.7,2015,49.7,94.7,2014,48.7,85.3,2265,1.6,86.3,1557,
Taillon, Jameson,592791,2018,R,2947,35.5,95.2,2350,57.3,95.2,2302,38.1,85.9,2527,4.5,87.9,1709,
Williams, Trevor,592866,2018,R,2723,51.5,91.1,2171,69.4,90.4,2094,15.3,81.4,2199,15.3,83.2,1681,
deGrom, Jacob,594798,2018,R,3101,42.8,96,2362,51.7,95.9,2343,32.2,88.9,2512,16.1,88.9,1701,
Gonzales, Marco,594835,2018,L,2562,7.6,90.1,2251,54.6,88.9,2296,22.3,78.1,2450,23.1,83.6,2206,
Junis, Jakob,596001,2018,R,2838,33,91.3,2024,53.3,91,2007,40.8,81.7,2456,5.9,84.7,1488,
Pivetta, Nick,601713,2018,R,2760,50.1,94.8,2268,58.9,94.8,2257,38.8,82.1,2692,2.2,87.1,1856,
Bundy, Dylan,605164,2018,R,2836,47.8,91.6,2417,55.8,91.6,2396,34,79.6,2414,10.2,83.7,1740,
Clevinger, Mike,605182,2018,R,3262,52.9,93.6,2298,52.9,93.6,2298,33,78,2317,14.1,87.6,1500,
Nola, Aaron,605400,2018,R,3212,36.5,92.7,2116,49.3,92.4,2101,30.9,78,2545,19.8,84.8,1478,
Snell, Blake,605483,2018,L,2913,51.5,95.8,2364,51.5,95.8,2364,29.3,83.4,2481,19.2,87.5,1777,
Freeland, Kyle,607536,2018,L,3246,39.9,91.8,2266,52.4,91.5,2253,33.9,85,2197,13.7,85.5,1393,
Giolito, Lucas,608337,2018,R,3005,39,92.4,2099,59.5,92.4,2066,24.9,81.7,2155,15.7,81.7,1651,
Marquez, German,608566,2018,R,3117,46,95.4,2207,55,95.2,2198,38.6,83.5,2550,6.4,85.7,1730,
Berrios, Jose,621244,2018,R,2980,34.4,93.4,2213,60.4,93.2,2183,30.5,81.7,2360,9.1,83.7,1633,
Castillo, Luis,622491,2018,R,2771,36.7,95.8,2200,57.2,95.7,2165,16.4,83.6,2206,26.4,86.2,1931,
Severino, Luis,622663,2018,R,3148,50.5,97.6,2365,50.5,97.6,2365,36,88.1,2872,13.6,88.1,1648,
Lopez, Reynaldo,625643,2018,R,3082,60.7,95.5,2102,60.8,95.5,2102,23.7,81.9,2105,15.5,83.6,1541,
Godley, Zack,643327,2018,R,3006,0.1,89.2,2360,54.4,89.5,2219,40.3,81.4,2178,5.3,81.1,1287,
Newcomb, Sean,656794,2018,L,2918,62.3,93,2179,62.3,93,2179,18.6,77.6,2683,19.2,86.3,1619,
Dickey, R.A.,285079,2017,R,2817,17.3,83.6,1878,17.3,83.6,1878,82.7,77.3,1530,,,,
Lackey, John,407793,2017,R,2754,39.4,91,2172,87.9,87.5,2163,7.4,77.5,2283,4.6,83.5,1647,
Greinke, Zack,425844,2017,R,3134,39.2,90.8,2392,48.2,90.8,2382,35.6,80.4,2594,16.1,87.1,1821,
Santana, Ervin,429722,2017,R,3231,33,93.2,2232,52.9,92.8,2196,36.9,84.5,2372,10.2,85.8,1516,
Verlander, Justin,434378,2017,R,3531,57.7,95.3,2541,58.4,95.3,2540,37.5,84.9,2646,4.1,87.6,1813,
Hammel, Jason,434628,2017,R,3008,20.7,92.2,2198,50.1,92.1,2178,46.4,83.4,2435,3.6,85.1,1764,
Nolasco, Ricky,445060,2017,R,3087,19.3,91,2124,48.4,90.9,2055,36.6,79.1,2382,15,80.9,1379,
Kluber, Corey,446372,2017,R,2934,14.4,92.7,2372,65.8,91.3,2380,28.1,84.4,2589,6.1,85.8,1707,
Vargas, Jason,450306,2017,L,2919,2.6,85.7,2229,47.2,85.6,2197,20.3,72.1,2491,32.4,79.5,2278,
Lester, Jon,452657,2017,L,3123,38.1,91.4,2206,78.4,89.9,2223,13.1,75.6,2512,8.5,84.6,1743,
Scherzer, Max,453286,2017,R,3099,45.8,94,2503,56.3,93.2,2495,29.4,83.1,2433,14.3,84.6,1519,
Richard, Clayton,453385,2017,L,3012,33,90.8,2117,68.7,90.5,2090,20.3,81.5,2211,11,83.7,1848,
Arrieta, Jake,453562,2017,R,2726,2.1,92.2,2312,63.4,92.2,2260,28.3,83.3,2578,8.3,87.3,1800,
Lynn, Lance,458681,2017,R,3144,36.7,92.4,2375,89.9,91.3,2316,4.8,78.9,2184,5.3,86,1987,
Gonzalez, Gio,461829,2017,L,3357,36.1,90,2247,56.6,89.7,2208,24.7,74.8,2708,18.7,83,1676,
Estrada, Marco,462136,2017,R,3242,53.5,89.8,2386,60.4,89.5,2401,7.7,77.5,2662,31.9,77.5,2125,
Nova, Ivan,467100,2017,R,2574,25.2,93.1,2252,68,92.8,2193,22.1,80.6,2352,9.8,86.4,1965,
Chacin, Jhoulys,468504,2017,R,2905,16.3,91.4,2207,54.7,91.2,2146,39.3,79.6,2482,6,83.3,1503,
Carrasco, Carlos,471911,2017,R,3038,40.2,94.3,2260,49.3,94.2,2228,34.6,84.3,2588,16.1,88.4,1485,
Hellickson, Jeremy,476451,2017,R,2605,22.3,90.1,2096,57.1,89.4,2143,12.6,76.7,2924,30.3,81.3,1830,
Kershaw, Clayton,477132,2017,L,2447,46.5,92.8,2340,47.7,92.9,2340,51.3,83.6,2435,1,85.9,2171,
Cashner, Andrew,488768,2017,R,2631,12.8,93.8,2193,66.9,93.2,2104,19.6,85.4,2120,13.5,84.9,1495,
Quintana, Jose,500779,2017,L,3168,37.5,92.2,2042,62.8,92.1,2029,28.1,77.1,2187,9,86.1,1329,
Archer, Chris,502042,2017,R,3394,47.4,95.5,2249,47.4,95.5,2249,44.5,88.9,2546,8,85.9,1766,
Cobb, Alex,502171,2017,R,2845,1.2,91.1,2045,51.7,91.7,2101,34.1,80.5,2536,14.3,85.6,1599,
Samardzija, Jeff,502188,2017,R,3262,18.7,94.3,2479,58.3,93.9,2474,33.4,84.7,2392,8.3,86.7,1690,
Leake, Mike,502190,2017,R,2721,3.2,90.6,2166,67.5,89.8,2075,20.6,80.2,2510,11.9,84.5,1770,
Darvish, Yu,506433,2017,R,3034,35.5,94.3,2505,66.6,93,2489,30.8,80.8,2633,2.6,87.7,1823,
Moore, Matt,519043,2017,L,2871,51.7,91.9,2257,66.4,91.3,2238,17.7,81.1,2394,15.9,83.1,1727,
Nelson, Jimmy,519076,2017,R,2750,29.3,94.1,2300,61.3,93.9,2213,36.1,86.2,2548,2.7,87.6,1561,
Pomeranz, Drew,519141,2017,L,3043,53,91.4,2359,61.6,90.9,2353,37,79.4,2204,1.4,81.1,1697,
Porcello, Rick,519144,2017,R,3368,33.3,92.1,2441,59.2,91.1,2389,32.5,80.4,2671,8.3,80.3,1621,
Sale, Chris,519242,2017,L,3423,36.9,94.8,2336,48.3,94.5,2305,32.9,79.8,2395,18.8,86.8,2016,
Perez, Martin,527048,2017,L,3088,23.3,93.2,2085,58.7,93.1,2048,20.9,81.6,2455,20.4,84.6,1780,
Teheran, Julio,527054,2017,R,3063,39.9,91.4,2274,64.8,91.3,2229,28.7,79.7,2503,6.5,81.9,1595,
Cole, Gerrit,543037,2017,R,3276,47.1,95.9,2164,60.2,95.8,2149,29.5,84.9,2528,10.3,88.5,1631,
Gray, Sonny,543243,2017,R,2661,28.8,93.5,2484,60.7,92.7,2279,30,83.3,2866,9.4,89.5,1827,
Roark, Tanner,543699,2017,R,3210,20.1,92.5,2088,56.4,92.3,2058,31.5,81.1,2511,12.2,83.7,1757,
Strasburg, Stephen,544931,2017,R,2667,45.6,95.4,2171,54.8,95.3,2164,27.7,83.8,2707,17.5,88.6,1745,
Bauer, Trevor,545333,2017,R,3145,35.8,94.1,2277,61.1,92.5,2325,31.2,78.8,2546,7.7,86.8,1646,
Tanaka, Masahiro,547888,2017,R,2718,14.2,92.3,2227,37.6,91.5,2153,37.4,83.4,2377,25,87.6,1496,
Urena, Jose,570632,2017,R,2876,31.3,95.8,2175,54.7,95.6,2164,23.8,85,2305,21.5,88.6,1807,
Corbin, Patrick,571578,2017,L,3073,27.3,92.3,2293,53.3,92.2,2269,37.6,80.9,2359,9.1,83.5,1797,
Straily, Dan,573185,2017,R,3049,45,90.5,2227,50.5,90.4,2230,32.1,82.8,2408,17.4,83.4,1408,
Stroman, Marcus,573186,2017,R,3132,11.3,93.7,2302,66.1,93.2,2274,27.9,85.8,2735,6,82.7,1680,
Gausman, Kevin,592332,2017,R,3344,64.2,94.9,2249,64.2,94.9,2249,13.9,82.6,2291,21.9,85,1602,
Ray, Robbie,592662,2017,L,2708,56.5,94.2,2276,59.2,94.1,2276,40.8,83.2,2067,,,,
Martinez, Carlos,593372,2017,R,3118,28.1,96.3,2091,55.5,95.6,2049,27.5,85,2183,16.9,87.8,1988,
deGrom, Jacob,594798,2017,R,3160,39.6,95.2,2362,55.3,95.1,2343,32.2,86.9,2480,12.4,87.7,1793,
Bundy, Dylan,605164,2017,R,2815,44,92.2,2485,53.7,92.1,2469,32.8,80.3,2403,13.5,83.6,1754,
Davies, Zach,605200,2017,R,3073,,,,70.6,89.1,2135,15.5,73.4,2603,14,79.4,1795,
Fulmer, Michael,605242,2017,R,2469,26.7,95.7,2104,59.7,95.8,2065,21.5,88.9,2377,18.8,87.8,1748,
Nola, Aaron,605400,2017,R,2663,32.5,92.3,2098,53.7,91.9,2074,30.8,77.4,2544,15.5,83.8,1435,
Perdomo, Luis,606131,2017,R,2550,11.3,94.3,1969,62.8,94,1955,32,84.4,2338,5.1,87.2,1488,
Wacha, Michael,608379,2017,R,2681,49.6,95.1,2159,70,94.1,2155,11.5,76.5,2234,18.5,87.8,1702,
Marquez, German,608566,2017,R,2654,51.9,95,2174,65.8,94.9,2171,29.2,81.5,2589,5,85.6,1682,
Blach, Ty,621389,2017,L,2512,1.3,90.6,2158,60.1,90.1,2104,16.2,77.4,2231,23.7,80.2,1990,
Severino, Luis,622663,2017,R,3081,51.3,97.5,2301,51.3,97.5,2301,35.1,88.3,2689,13.6,87.2,1671,
Colon, Bartolo,112526,2016,R,2797,25.9,90.4,2264,89.4,88.4,2148,6.4,82.4,2282,4.2,81.5,1683,
Sabathia, CC,282332,2016,L,2895,35.6,89,2192,71.4,89.3,2104,22.9,80.4,2085,5.8,82.5,1957,
Dickey, R.A.,285079,2016,R,2653,13,82.9,1889,13,82.9,1889,87,76.6,1592,,,,
Lackey, John,407793,2016,R,2740,37.2,92.4,2270,81,90,2244,13.5,78.9,2329,5.5,84.9,1871,
Wainwright, Adam,425794,2016,R,3148,13,90.8,2192,70.5,88.8,2241,26.9,74.4,2657,2.6,83.3,1583,
Santana, Ervin,429722,2016,R,2882,51.1,93.4,2250,52.8,93.3,2243,39.5,84.1,2081,7.7,85.6,1456,
Hamels, Cole,430935,2016,L,3203,26.6,92.6,2083,67.2,92,2071,14.6,79.8,2141,18.3,84.8,1623,
Verlander, Justin,434378,2016,R,3655,57.8,94.1,2558,57.8,94.1,2558,33.7,84.1,2612,8.5,85.9,2057,
Liriano, Francisco,434538,2016,L,2775,2.5,93.1,2094,51.2,93.3,2040,29.2,85.9,2231,19.5,85.9,1784,
Hammel, Jason,434628,2016,R,2611,29.1,92.6,2212,50.7,92.7,2198,46.6,83.8,2319,2.7,85.4,1692,
Nolasco, Ricky,445060,2016,R,3116,24,91,2099,48.6,90.9,2041,43.9,79.7,2302,7.4,80,1386,
Kluber, Corey,446372,2016,R,3156,17.2,92.9,2443,52.8,93.1,2308,42.7,87,2622,4.5,85.8,1673,
Shields, James,448306,2016,R,3108,24.9,91.1,2289,62.3,89.7,2276,16.5,77.6,2531,21.3,84.3,1765,
Garcia, Jaime,448802,2016,L,2547,29.6,91.1,2416,63.4,91.1,2343,18.5,80.4,2806,18.1,82.8,2019,
Volquez, Edinson,450172,2016,R,3220,12.4,94,2312,53.1,93.8,2308,24.7,80.5,2817,22.2,84,1200,
Weaver, Jered,450308,2016,R,2762,28,83.8,2267,44.2,83.5,2213,38.7,72.7,2457,17.1,74.9,1850,
Fister, Doug,450729,2016,R,2971,22.2,87.5,1989,78.9,86.8,1998,14.7,70.9,2060,6.4,79.5,1640,
