last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Greinke, Zack,425844,2018,R,3129,44.2,89.5,2335,17.7,83.4,2540,21,86.5,1738,11.2,71.2,2476,5.9,90,2278,,,,,,,,,,50.1,89.6,2329,28.9,78.7,2514,21,86.5,1738,
Hamels, Cole,430935,2018,L,2962,29.8,92.3,2083,4.9,85,2114,18.9,83.3,1652,13.2,78.8,2199,14.8,91.4,2078,18.3,87.5,2045,,,,,,,62.9,90.7,2071,18.2,80.5,2176,18.9,83.3,1652,
Verlander, Justin,434378,2018,R,3420,61.2,95,2618,22.3,86.5,2684,1.5,87.4,1899,14.5,79.6,2894,,,,0.6,91.5,2558,,,,,,,61.8,95,2618,36.8,83.8,2767,1.5,87.4,1899,
Kluber, Corey,446372,2018,R,3076,8.9,92,2410,,,,6.6,85.2,1751,22.5,83.8,2607,32.7,92,2268,29.4,88.5,2604,,,,,,,71,90.5,2425,22.5,83.8,2607,6.6,85.2,1751,
Shields, James,448306,2018,R,3186,26.5,89.5,2271,,,,18.2,83.4,1665,19.7,78.2,2478,11.5,89,2178,24,86.4,2342,,,,,,,62,88.2,2281,19.7,78.2,2478,18.2,83.4,1665,
Morton, Charlie,450203,2018,R,2686,31.1,96.1,2243,,,,,,,29.3,79.7,2923,27.1,95.1,2109,6.3,88.3,2518,6.3,87.3,2122,,,,64.4,94.9,2213,29.3,79.7,2923,6.3,87.3,2122,
Lester, Jon,452657,2018,L,3108,45.5,91,2230,,,,9.2,84.9,1805,15.7,74.8,2571,4.9,90.2,2073,24.7,88.1,2381,,,,,,,75,90,2269,15.7,74.8,2571,9.2,84.9,1805,
LeBlanc, Wade,453281,2018,L,2443,7.6,86.2,1944,0.1,77.7,2072,29.8,77.7,1522,9,72.5,2206,27.8,86.3,1878,25.6,83.4,2006,,,,,,,61.1,85,1940,9.1,72.6,2205,29.8,77.7,1522,
Scherzer, Max,453286,2018,R,3479,50.2,94.4,2487,16.6,85.2,2386,15.7,83.9,1457,7.9,78.4,2512,,,,9.7,88.7,2425,,,,,,,59.8,93.4,2477,24.5,83,2427,15.7,83.9,1457,
Arrieta, Jake,453562,2018,R,2759,1.7,92.4,2310,23.6,89.4,2466,10.6,88,1650,10.3,80.7,2771,53.8,93,2241,,,,,,,,,,55.5,93,2243,33.9,86.8,2559,10.6,88,1650,
Price, David,456034,2018,L,2714,13.3,92.7,2241,,,,22.2,85.3,1719,2.9,79.1,2207,33.4,92.7,2172,28.2,88.6,2159,,,,,,,74.9,91.2,2179,2.9,79.1,2207,22.2,85.3,1719,
Happ, J.A.,457918,2018,L,3049,59.3,92.3,2334,12.7,85.3,2187,12.3,86,1619,1.7,75.9,2130,14.1,90.4,2140,,,,,,,,,,73.3,91.9,2297,14.4,84.2,2180,12.3,86,1619,
Gonzalez, Gio,461829,2018,L,2905,29.4,90.1,2229,,,,23,82.8,1629,20.3,75.7,2713,27.4,89.4,2122,,,,,,,,,,56.8,89.8,2177,20.3,75.7,2713,23,82.8,1629,
Chacin, Jhoulys,468504,2018,R,3006,13.1,89.9,2136,44.8,79.3,2367,2.1,82.7,1387,0.5,73.3,2365,34.6,90.2,2026,,,,4.9,86.1,1598,,,,47.7,90.1,2056,45.3,79.3,2367,7,85.1,1533,
Carrasco, Carlos,471911,2018,R,2870,31.3,93.7,2353,31.7,83.9,2645,16.3,88,1507,7.3,81.6,2825,13.3,93,2205,,,,,,,,,,44.6,93.5,2309,39.1,83.4,2680,16.3,88,1507,
Quintana, Jose,500779,2018,L,2892,49.7,91.5,2019,,,,6.8,86.3,1275,24.9,76.1,2176,18.6,91.5,1980,,,,,,,,,,68.3,91.5,2008,24.9,76.1,2176,6.8,86.3,1275,
Gibson, Kyle,502043,2018,R,3234,23.3,93.1,2219,20.8,85.4,2472,11,85.6,1696,10.5,80.7,2471,34.4,92.9,2086,,,,,,,,,,57.7,93,2140,31.3,83.9,2472,11,85.6,1696,
Leake, Mike,502190,2018,R,2796,2.7,89.1,2121,11,80.2,2447,18.7,83.7,1769,10.9,78.4,2560,34.7,88.8,2006,22.1,87.3,2200,,,,,,,59.4,88.2,2083,21.9,79.4,2504,18.7,83.7,1769,
Holland, Derek,502706,2018,L,2902,,,,21.8,80.9,2178,8.8,82.9,2125,12.5,78.4,2076,56.9,91.5,2353,,,,,,,,,,56.9,91.5,2353,34.3,80,2141,8.8,82.9,2125,
Porcello, Rick,519144,2018,R,3095,20.1,91.3,2433,24.4,86,2555,11.7,81.4,1760,14,74.8,2824,29.7,89.8,2352,,,,,,,,,,49.8,90.4,2385,38.4,81.9,2653,11.7,81.4,1760,
Teheran, Julio,527054,2018,R,2797,42.3,89.9,2326,21.8,80.2,2582,9.5,82.6,1615,6.7,72.5,2670,19.6,89.4,2154,,,,,,,,,,61.9,89.7,2272,28.5,78.4,2607,9.5,82.6,1615,
Anderson, Tyler,542881,2018,L,2848,39.6,91.9,2250,,,,22.9,81.2,1901,3.8,73.7,2336,5,91.1,2195,28.7,87.6,2464,,,,,,,73.3,90.2,2330,3.8,73.7,2336,22.9,81.2,1901,
Cole, Gerrit,543037,2018,R,3256,50.3,96.5,2379,19.9,88.7,2571,4.5,87.7,1667,19.2,82.5,2842,6.1,96.3,2315,,,,,,,,,,56.4,96.5,2372,39.2,85.7,2706,4.5,87.7,1667,
Hendricks, Kyle,543294,2018,R,3046,17.4,87.3,2074,,,,30.6,78.6,2090,7.6,71.8,2795,44.4,86.6,1947,,,,,,,,,,61.8,86.8,1983,7.6,71.8,2795,30.6,78.6,2090,
Odorizzi, Jake,543606,2018,R,2979,54.1,91.1,2255,21,83.3,2202,,,,4.9,72.6,2290,,,,2.4,86.4,2221,17.7,84.2,1605,,,,56.5,90.9,2253,25.9,81.3,2219,17.7,84.2,1605,
Roark, Tanner,543699,2018,R,2954,19.9,91.5,2103,12.7,85,2286,11.9,83.4,1731,14,74.7,2744,39.4,91.4,2048,2,89.3,2145,,,,,,,61.4,91.3,2069,26.7,79.6,2527,11.9,83.4,1731,
Bauer, Trevor,545333,2018,R,2850,36.8,94.5,2322,13.7,82,2666,7,87,1852,26.7,79.1,2601,5.2,94.4,2316,10.5,86.7,2611,,,,,,,52.5,93,2373,40.5,80.1,2623,7,87,1852,
Wheeler, Zack,554430,2018,R,2882,42.3,95.8,2312,19.3,90.8,2338,0.9,86.3,1958,10.5,79.3,2556,15.2,96,2234,,,,11.8,89.3,1605,,,,57.5,95.9,2291,29.8,86.7,2415,12.8,89.1,1631,
Urena, Jose,570632,2018,R,2770,2.1,95.6,2148,21.6,86.4,2242,19,89.9,1813,1.8,84.8,2278,55.6,95.8,2124,,,,,,,,,,57.7,95.8,2125,23.4,86.2,2244,19,89.9,1813,
Boyd, Matthew,571510,2018,L,2854,34.2,90.5,2282,30.9,80.5,2322,8,78.6,1760,12.3,72.1,2276,14.6,90.1,2281,,,,,,,,,,48.8,90.4,2281,43.2,78.1,2308,8,78.6,1760,
Corbin, Patrick,571578,2018,L,3138,20,90.8,2267,41,81.7,2389,1.1,81,1710,9.3,72.5,2089,28.5,90.8,2215,,,,,,,,,,48.6,90.8,2236,50.3,80,2333,1.1,81,1710,
Fiers, Mike,571666,2018,R,2667,38.3,89.4,2308,17.4,85.2,2390,18.3,83.3,1894,15.8,72.4,2771,10.2,89.2,2239,,,,,,,,,,48.5,89.4,2294,33.3,79.1,2571,18.3,83.3,1894,
Heaney, Andrew,571760,2018,L,2754,,,,,,,16.6,83.3,1931,25.2,78.6,2383,58.2,91.9,2467,,,,,,,,,,58.2,91.9,2467,25.2,78.6,2383,16.6,83.3,1931,
Mikolas, Miles,571945,2018,R,3004,26.7,94.1,2309,25.9,88,2361,4.4,88.4,1680,21.4,78.5,2613,21.6,93.5,2218,,,,,,,,,,48.3,93.9,2268,47.2,83.7,2476,4.4,88.4,1680,
Keuchel, Dallas,572971,2018,L,3309,12.2,89.7,2166,18.4,78.7,2190,12.8,79.6,1544,,,,41.1,89.1,2040,15.5,86.4,2166,,,,,,,68.8,88.6,2090,18.4,78.7,2190,12.8,79.6,1544,
Foltynewicz, Mike,592314,2018,R,3039,40.1,96.3,2349,27.3,86.7,2518,6.2,87.8,1909,10,80,2499,16.4,96.5,2248,,,,,,,,,,56.5,96.4,2320,37.4,84.9,2513,6.2,87.8,1909,
Gausman, Kevin,592332,2018,R,3003,58.5,93.6,2168,14.4,81.4,2210,3.1,82,1701,,,,,,,,,,24,82.7,1449,,,,58.5,93.6,2168,14.4,81.4,2210,27.2,82.6,1478,
Gray, Jon,592351,2018,R,2793,49.6,94.7,2015,34,87.8,2182,1.6,86.3,1557,14.7,79.6,2457,0.1,95,1883,,,,,,,,,,49.7,94.7,2014,48.7,85.3,2265,1.6,86.3,1557,
Taillon, Jameson,592791,2018,R,2947,35.5,95.2,2350,18.4,89.8,2393,4.5,87.9,1709,19.7,82.2,2649,21.9,95.2,2223,,,,,,,,,,57.3,95.2,2302,38.1,85.9,2527,4.5,87.9,1709,
Williams, Trevor,592866,2018,R,2723,51.5,91.1,2171,15.1,81.4,2203,15.3,83.2,1681,0.2,75.5,1979,18,88.6,1874,,,,,,,,,,69.4,90.4,2094,15.3,81.4,2199,15.3,83.2,1681,
deGrom, Jacob,594798,2018,R,3101,42.8,96,2362,24.1,91,2497,16.1,88.9,1701,8.1,82.7,2563,8.9,95.3,2256,,,,,,,,,,51.7,95.9,2343,32.2,88.9,2512,16.1,88.9,1701,
Gonzales, Marco,594835,2018,L,2562,7.6,90.1,2251,,,,23.1,83.6,2206,22.3,78.1,2450,24.6,90.1,2267,22.5,87.1,2343,,,,,,,54.6,88.9,2296,22.3,78.1,2450,23.1,83.6,2206,
Junis, Jakob,596001,2018,R,2838,33,91.3,2024,34.2,82.2,2474,5.9,84.7,1488,6.6,79.1,2364,20.3,90.6,1978,,,,,,,,,,53.3,91,2007,40.8,81.7,2456,5.9,84.7,1488,
Pivetta, Nick,601713,2018,R,2760,50.1,94.8,2268,16.8,84.8,2477,2.2,87.1,1856,22,80.1,2840,8.8,94.7,2194,,,,,,,,,,58.9,94.8,2257,38.8,82.1,2692,2.2,87.1,1856,
Bundy, Dylan,605164,2018,R,2836,47.8,91.6,2417,25.4,81.4,2482,10.2,83.7,1740,8.6,74.5,2220,8,91.5,2273,,,,,,,,,,55.8,91.6,2396,34,79.6,2414,10.2,83.7,1740,
Clevinger, Mike,605182,2018,R,3262,52.9,93.6,2298,21.1,79.5,2386,14.1,87.6,1500,11.8,75.4,2195,,,,,,,,,,,,,52.9,93.6,2298,33,78,2317,14.1,87.6,1500,
Nola, Aaron,605400,2018,R,3212,36.5,92.7,2116,,,,19.8,84.8,1478,30.9,78,2545,12.9,91.4,2057,,,,,,,,,,49.3,92.4,2101,30.9,78,2545,19.8,84.8,1478,
